作物ID,作物名称,分类,已有数量,是否制标
gqzz0071,举动荆棘,作物,2,否
zz1129011,血根草,作物,1,否
zzqlz0011,麒麟掌,作物,3,否
zzsyc0011,梭鱼草,作物,48,否
zzxlh0011,雪里红,作物,1,否
zzhfsl0011,洪福石榴,作物,8,否
jyc12270011,鸡眼草,作物,1,否
zzzsjj1215011,蛛丝卷绢,作物,1,否
qxzz08281,定情树,作物,10,否
qxzz08271,臻爱果,作物,1,否
qxzz08261,鹊桥盆栽,作物,1,否
zz08261,百子莲,作物,2,否
zz08231,白鹤芋,作物,1,否
101351,天门冬,作物,1,否
101341,水朝阳,作物,1,否
100011,牧草,作物,196,是
100021,白萝卜,作物,192,是
100041,葫芦,作物,10,否
100101,向日葵,作物,1,否
100131,玉米,作物,6,否
100151,豆角,作物,6,否
100181,紫薯,作物,10,否
100201,黑木耳,作物,9,否
100211,西瓜,作物,10,否
100231,竹子,作物,12,否
100241,红辣椒,作物,4,否
100261,金玉满堂,作物,9,否
100281,樱桃,作物,4,否
100291,西红柿,作物,2,否
100311,葡萄,作物,2,否
100321,猕猴桃,作物,2,否
100331,柿子,作物,1,否
100341,青枣,作物,3,否
100361,红枣,作物,13,否
100371,小麦,作物,3,否
100381,绿茶,作物,4,否
100391,大麦,作物,7,否
100401,柚子,作物,11,否
100411,蘑菇,作物,5,否
100421,石榴,作物,1,否
100431,甘蔗,作物,2,否
100441,柠檬,作物,4,否
100451,香蕉,作物,1,否
100461,山竹,作物,3,否
100481,芦荟,作物,1,否
100491,甜瓜,作物,5,否
100501,咖啡,作物,4,否
100511,杨桃,作物,3,否
100531,无花果,作物,1,否
100551,核桃,作物,2,否
100571,青柳,作物,4,否
100601,栗子,作物,3,否
100611,普洱茶,作物,1,否
100621,木菠萝,作物,4,否
100631,蕃石榴,作物,5,否
100651,决明子,作物,6,否
100661,榴莲,作物,7,否
100681,山药,作物,1,否
100721,西兰花,作物,2,否
100741,水葫芦,作物,1,否
100751,仙人掌,作物,1,否
900051,金梗水稻,作物,1,否
dw10021,红豆粽,作物,1,否
gqzz0031,月夕朝花,鲜花,3,否
gqzz0091,同心花,鲜花,1,否
lhj09211,硫华菊,鲜花,1,否
zz1129061,珊瑚菜,鲜花,17,是
zzfsx0011,浮世芯,鲜花,1,否
hyh1220011,红颜花,鲜花,1,否
lyj1220011,龙阳菊,鲜花,1,否
jdh12270011,鸡蛋花,鲜花,1,否
8yue08121,龙胆花,鲜花,1,否
8yue08101,秋水仙,鲜花,14,否
tmbx07161,果冰一夏,鲜花,1,否
100961,金盏菊,鲜花,1,否
100941,紫罗兰,鲜花,1,否
100931,白菊花,鲜花,1,否
100831,金鱼草,鲜花,2,否
100821,太阳花,鲜花,4,否
100671,金银花,鲜花,4,否
101321,风车太阳花,鲜花,2,否
101301,绝密金银花,鲜花,6,否
101201,杜鹃花,鲜花,1,否
zzxyhon0011,向阳红,稀有,2,否
zzzuyh0011,竹叶红,稀有,2,否
zzzytai0011,紫瑶台,稀有,1,否
