种子ID,作物ID,作物名称,分类,成熟时间,预计收入,每小时收益,数量,已有数量,是否制标
gqzz007,gqzz0071,举动荆棘,作物,24,3500,145.83,16,2,否
zz112901,zz1129011,血根草,作物,24,5000,208.33,16,1,否
zz112903,zz1129031,紫斑兰,作物,24,5000,208.33,15,7,是
qxzz0828,qxzz08281,定情树,作物,32,723,22.59,7,11,否
qxzz0827,qxzz08271,臻爱果,作物,32,737,23.03,6,7,否
qxzz0826,qxzz08261,鹊桥盆栽,作物,32,737,23.03,6,2,否
10135,101351,天门冬,作物,16,282,17.62,3,1,否
10001,100011,牧草,作物,0.33,4,12.12,89,250,是
10002,100021,白萝卜,作物,4,56,14,87,201,是
10004,100041,葫芦,作物,6,90,15,4,12,否
10010,100101,向日葵,作物,10,156,15.6,4,1,否
10013,100131,玉米,作物,8,121,15.12,11,8,否
10015,100151,豆角,作物,8,128,16,6,7,否
10018,100181,紫薯,作物,13,217,16.69,2,10,否
10020,100201,黑木耳,作物,11,185,16.82,1,9,否
10021,100211,西瓜,作物,18,300,16.67,2,10,否
10023,100231,竹子,作物,20,337,16.85,1,12,否
10026,100261,金玉满堂,作物,16,280,17.5,1,11,否
10028,100281,樱桃,作物,24,428,17.83,2,4,否
10029,100291,西红柿,作物,16,299,18.69,1,2,否
10031,100311,葡萄,作物,30,545,18.17,5,2,否
10032,100321,猕猴桃,作物,32,581,18.16,4,2,否
10033,100331,柿子,作物,34,623,18.32,3,1,否
10034,100341,青枣,作物,28,507,18.11,3,5,否
10036,100361,红枣,作物,32,624,19.5,2,13,否
10037,100371,小麦,作物,24,443,18.46,2,3,否
10038,100381,绿茶,作物,22,413,18.77,5,4,否
10039,100391,大麦,作物,27,512,18.96,5,7,否
10040,100401,柚子,作物,28,535,19.11,4,13,否
10041,100411,蘑菇,作物,6,112,18.67,3,5,否
10042,100421,石榴,作物,30,579,19.3,6,1,否
10043,100431,甘蔗,作物,24,467,19.46,3,2,否
10044,100441,柠檬,作物,36,687,19.08,5,4,否
10045,100451,香蕉,作物,28,575,20.54,2,1,否
10046,100461,山竹,作物,30,621,20.7,4,3,否
10047,100471,桔子,作物,30,582,19.4,4,1,否
10048,100481,芦荟,作物,27,538,19.93,1,1,否
10049,100491,甜瓜,作物,30,591,19.7,9,5,否
10051,100511,杨桃,作物,38,769,20.24,2,3,否
10052,100521,黑芝麻,作物,26,531,20.42,2,3,否
10053,100531,无花果,作物,30,612,20.4,11,1,否
10054,100541,荔枝,作物,31,638,20.58,1,6,否
10055,100551,核桃,作物,24,521,21.71,3,10,否
10056,100561,花生,作物,26,539,20.73,2,1,否
10057,100571,青柳,作物,28,613,21.89,4,4,否
10061,100611,普洱茶,作物,25,560,22.4,2,2,否
10063,100631,蕃石榴,作物,32,690,21.56,1,5,否
10064,100641,蟠桃,作物,40,909,22.73,2,9,否
10068,100681,山药,作物,24,553,23.04,1,2,否
10072,100721,西兰花,作物,28,660,23.57,1,2,否
10075,100751,仙人掌,作物,36,823,22.86,1,1,否
90005,900051,金梗水稻,作物,32,807,25.22,1,2,否
gqzz009,gqzz0091,同心花,鲜花,24,3500,145.83,13,1,否
8yue0812,8yue08121,龙胆花,鲜花,24,494,20.58,9,13,否
8yue0810,8yue08101,秋水仙,鲜花,24,494,20.58,5,14,否
10095,100951,栀子花,鲜花,14,309,22.07,4,1,否
10094,100941,紫罗兰,鲜花,16,293,18.31,2,14,否
10091,100911,百合花,鲜花,8,135,16.88,5,6,否
10067,100671,金银花,鲜花,28,646,23.07,1,4,否
zz112910,zz1129101,聚合草,稀有,48,10000,208.33,2,4,否
zz112911,zz1129111,黑种花,稀有,48,10000,208.33,1,1,否
zz112914,zz1129141,宿根亚麻,稀有,48,10000,208.33,4,1,否
zzhcy001,zzhcy0011,红赤云,稀有,48,10000,208.33,1,3,否
zzmhh001,zzmhh0011,麦红花,稀有,48,10000,208.33,2,5,否
m12xzzz04,m12xzzz041,魔巨蟹座,稀有,90,10000,111.11,1,2,是
zzdfsn001,zzdfsn0011,多福圣女果,稀有,32,10000,312.5,2,3,否
zzfanl001,zzfanl0011,繁缕,稀有,90,10000,111.11,1,1,否
zzxlxs001,zzxlxs0011,香龙血树,稀有,48,10000,208.33,2,1,否
8yue0809,8yue08091,帝王花,稀有,30,1364,45.47,7,7,否
8yue0808,8yue08081,吊钟花,稀有,36,1518,42.17,6,3,否
8yue0807,8yue08071,醉蝶花,稀有,38,1706,44.89,2,2,否
20054,200541,暖春缤纷草,稀有,24,902,37.58,1,13,否
20001,200011,食人花,稀有,28,778,27.79,5,4,否
20003,200031,秋樱,稀有,30,829,27.63,3,7,否
20004,200041,藏红花,稀有,24,681,28.38,1,2,否
20005,200051,望天树,稀有,36,1015,28.19,2,3,否
20007,200071,七星海棠,稀有,34,1010,29.71,2,12,否
20008,200081,含羞草,稀有,22,671,30.5,3,5,否
20009,200091,神奇火龙果,稀有,36,1119,31.08,3,2,否
20010,200101,断肠草,稀有,28,923,32.96,5,1,是
20011,200111,晚樱草,稀有,24,760,31.67,2,3,否
20012,200121,银杏,稀有,50,1680,33.6,4,8,否
20014,200141,灵芝,稀有,48,1548,32.25,4,1,否
20015,200151,麒麟花,稀有,45,1569,34.87,1,9,否
20016,200161,冬虫夏草,稀有,52,1709,32.87,1,1,否
20021,200211,雪绒花,稀有,32,1162,36.31,2,1,是
20024,200241,神奇彼岸花,稀有,60,2301,38.35,2,6,否
20025,200251,摇钱树,稀有,56,2103,37.55,3,3,否
20026,200261,彼岸花,稀有,48,1895,39.48,2,3,否
20027,200271,太空香蕉,稀有,46,1712,37.22,1,2,否
20030,200301,天堂鸟,稀有,40,1632,40.8,1,3,否
20031,200311,太空荔枝,稀有,50,1923,38.46,1,2,否
20032,200321,白玫瑰,稀有,38,1576,41.47,7,15,否
20033,200331,红玫瑰,稀有,40,1603,40.08,4,9,否
20041,200411,白鹭花,稀有,42,1790,42.62,1,7,否
20077,200771,神奇天堂鸟,稀有,26,967,37.19,7,1,否
zz112915,zz1129153,远古遗迹,变异,54,10000,185.19,1,1,否
zz112915,zz1129155,远古遗迹,变异,54,10000,185.19,1,2,否
zz112915,zz1129157,远古遗迹,变异,54,10000,185.19,1,1,否
dzy122801,dzy1228011,冬之韵,变异,48,10000,208.33,1,3,否
dzy122801,dzy1228013,冬之韵,变异,48,10000,208.33,1,2,否
zzzjfr001,zzzjfr0011,酒醉芙蓉,变异,34,8434,248.06,2,8,否
zzzjfr001,zzzjfr0012,酒醉芙蓉,变异,34,8434,248.06,2,5,否
zzzjfr001,zzzjfr0013,酒醉芙蓉,变异,34,8434,248.06,2,1,否
zzzjfr001,zzzjfr0014,酒醉芙蓉,变异,34,8434,248.06,2,1,否
zzzjfr001,zzzjfr0015,酒醉芙蓉,变异,34,8434,248.06,2,1,否
30005,300059,生肖混元果,变异,28,1175,41.96,2,2,否
30005,300055,生肖混元果,变异,28,1175,41.96,2,2,否
30005,300052,生肖混元果,变异,28,1175,41.96,2,1,否
30005,300051,生肖混元果,变异,28,1175,41.96,2,2,否
30001,300010,青铜星辰花,变异,12,369,30.75,5,5,是
30001,300011,青铜星辰花,变异,12,369,30.75,5,14,是
30001,300012,青铜星辰花,变异,12,369,30.75,5,14,是
