种子ID	作物名称	成熟时间	预计收入	每小时收益	数量
zzaqws001	安全卫士	90	10000	111.11	1
zzgsl001	果石榴	34	8434	248.06	2
zzmhh001	麦红花	48	10000	208.33	1
zzaqzh001	爱情之花	8	1000	125	14
zzlw001	芦苇	24	10000	416.67	1
zzyygl001	羽衣甘蓝	24	10000	416.67	2
zzhyyz001	花叶玉簪	24	10000	416.67	1
zzcyfl001	彩叶凤梨	24	10000	416.67	1
zzxlxs001	香龙血树	48	10000	208.33	1
jdg1227001	鸡蛋果	24	4000	166.67	1
sdxr122101	圣诞雪人	32	5000	156.25	1
sdld122101	圣诞铃铛	32	5000	156.25	1
zz112914	宿根亚麻	48	10000	208.33	2
zz112912	千里光	48	10000	208.33	1
zz112911	黑种花	48	10000	208.33	2
zz112910	聚合草	48	10000	208.33	2
zz112909	慈姑叶	32	7000	218.75	5
zz112908	马缨花	32	7000	218.75	5
zz112907	白元草	32	7000	218.75	5
zz112906	珊瑚菜	32	7000	218.75	5
zz112905	百花丹	32	7000	218.75	3
zz112904	碧玉藤	24	5000	208.33	6
zz112903	紫斑兰	24	5000	208.33	3
zz112902	白凤天香	24	5000	208.33	4
zz112901	血根草	24	5000	208.33	7
cyj102501	墨菊	24	4000	166.67	1
gqzz009	同心花	24	3500	145.83	2
gqzz007	举动荆棘	24	3500	145.83	4
gqzz004	圆孔方木	32	8000	250	3
gqzz003	月夕朝花	24	4000	166.67	3
gqzz002	好丹素菲	24	4000	166.67	8
gqzz001	花玲珑	32	10000	312.5	1
jgj0921	金光菊	32	1239	38.72	1
sgj0921	松果菊	32	1239	38.72	2
qxzz0828	定情树	32	723	22.59	2
qxzz0827	臻爱果	32	737	23.03	2
qxzz0826	鹊桥盆栽	32	737	23.03	2
8yue0812	龙胆花	24	494	20.58	4
8yue0811	一品红	24	517	21.54	1
8yue0809	帝王花	30	1364	45.47	2
8yue0808	吊钟花	36	1518	42.17	1
8yue0807	醉蝶花	38	1706	44.89	2
10134	水朝阳	18	327	18.17	1
10106	青葙	18	312	17.33	3
10105	面条菜	20	337	16.85	4
10104	小马泡	15	253	16.87	1
10103	猫眼草	18	300	16.67	6
10102	牛筋草	11	185	16.82	2
10101	兔儿菜	11	182	16.55	4
30005	生肖混元果	28	1175	41.96	2
30001	青铜星辰花	12	369	30.75	1
20055	暖春缤纷树	24	981	40.88	1
20054	暖春缤纷草	24	902	37.58	1
20049	昙花	60	2849	47.48	1
20045	孔雀草	36	1662	46.17	1
20041	白鹭花	42	1790	42.62	1
20038	粉玫瑰	40	1654	41.35	1
20037	蓝玫瑰	48	1935	40.31	2
20036	黄玫瑰	42	1797	42.79	5
20033	红玫瑰	40	1603	40.08	2
20031	太空荔枝	50	1923	38.46	1
20026	彼岸花	48	1895	39.48	2
20025	摇钱树	56	2103	37.55	3
20022	黄金珊瑚	31	1047	33.77	1
20015	麒麟花	45	1569	34.87	1
20014	灵芝	48	1548	32.25	1
20010	断肠草	28	923	32.96	2
20008	含羞草	22	671	30.5	2
20007	七星海棠	34	1010	29.71	1
20006	独叶草	20	586	29.3	3
20005	望天树	36	1015	28.19	2
20003	秋樱	30	829	27.63	1
20001	食人花	28	778	27.79	2
10096	金盏菊	18	414	23	1
10095	栀子花	14	309	22.07	2
10078	菠萝蜜	42	1020	24.29	2
10072	西兰花	28	660	23.57	1
10068	山药	24	553	23.04	1
10067	金银花	28	646	23.07	1
10064	蟠桃	40	909	22.73	1
10059	橘子	32	674	21.06	3
10057	青柳	28	613	21.89	1
10054	荔枝	31	638	20.58	1
10053	无花果	30	612	20.4	3
10052	黑芝麻	26	531	20.42	1
10049	甜瓜	30	591	19.7	2
10047	桔子	30	582	19.4	1
10046	山竹	30	621	20.7	1
10044	柠檬	36	687	19.08	1
10042	石榴	30	579	19.3	2
10040	柚子	28	535	19.11	2
10039	大麦	27	512	18.96	1
10038	绿茶	22	413	18.77	5
10037	小麦	24	443	18.46	1
10036	红枣	32	624	19.5	1
10035	桂圆	30	554	18.47	1
10034	青枣	28	507	18.11	2
10033	柿子	34	623	18.32	1
10032	猕猴桃	32	581	18.16	2
10031	葡萄	30	545	18.17	1
10027	茄子	14	247	17.64	1
10024	红辣椒	18	312	17.33	1
10023	竹子	20	337	16.85	1
10021	西瓜	18	300	16.67	1
10018	紫薯	13	217	16.69	1
10016	番薯	12	195	16.25	1
10015	豆角	8	128	16	3
10014	苹果	18	286	15.89	2
10013	玉米	8	121	15.12	6
10010	向日葵	10	156	15.6	1
10009	芒果	12	177	14.75	2
10008	桑葚	8	122	15.25	1
10007	生菜	3	29	9.67	1
10005	莴苣	1.5	15	10	1
10004	葫芦	6	90	15	3
10002	白萝卜	4	56	14	86
10001	牧草	0.33	4	12.12	87
